Fuel_Category,Zip Code,Count
Plug-In Hybrid,20785,25
Plug-In Hybrid,20794,22
Plug-In Hybrid,20812,3
Plug-In Hybrid,20814,127
Plug-In Hybrid,20815,172
Plug-In Hybrid,20816,83
Plug-In Hybrid,20817,246
Plug-In Hybrid,20818,19
Plug-In Hybrid,20827,1
Plug-In Hybrid,20832,59
Plug-In Hybrid,20833,26
Plug-In Hybrid,20837,19
Plug-In Hybrid,20838,1
Plug-In Hybrid,20839,1
Plug-In Hybrid,20841,37
Plug-In Hybrid,20842,12
Plug-In Hybrid,20850,170
Plug-In Hybrid,20851,34
Plug-In Hybrid,20852,123
Plug-In Hybrid,20853,67
Plug-In Hybrid,20854,276
Plug-In Hybrid,20855,59
Plug-In Hybrid,20860,3
Plug-In Hybrid,20861,7
Plug-In Hybrid,20862,4
Plug-In Hybrid,20866,24
Plug-In Hybrid,20868,4
Plug-In Hybrid,20871,147
Plug-In Hybrid,20872,37
Plug-In Hybrid,20874,131
Plug-In Hybrid,20876,63
Plug-In Hybrid,20877,58
Plug-In Hybrid,20878,240
Plug-In Hybrid,20879,49
Plug-In Hybrid,20880,6
Plug-In Hybrid,20882,74
Plug-In Hybrid,20886,43
Plug-In Hybrid,20895,74
Plug-In Hybrid,20896,10
Plug-In Hybrid,20901,85
Plug-In Hybrid,20902,78
Plug-In Hybrid,20903,27
Plug-In Hybrid,20904,101
Plug-In Hybrid,20905,48
Plug-In Hybrid,20906,102
Plug-In Hybrid,20910,159
Plug-In Hybrid,20912,93
Plug-In Hybrid,21001,29
Plug-In Hybrid,21005,2
Plug-In Hybrid,21009,32
Plug-In Hybrid,21012,41
Plug-In Hybrid,21013,6
Plug-In Hybrid,21014,44
Plug-In Hybrid,21015,33
Plug-In Hybrid,21017,9
Plug-In Hybrid,21023,1
Plug-In Hybrid,21028,5
Plug-In Hybrid,21029,89
Plug-In Hybrid,21030,44
Plug-In Hybrid,21031,2
Plug-In Hybrid,21032,33
Plug-In Hybrid,21034,3
Plug-In Hybrid,21035,19
Plug-In Hybrid,21036,10
Plug-In Hybrid,21037,64
Plug-In Hybrid,21040,20
Plug-In Hybrid,21042,194
Plug-In Hybrid,21043,122
Plug-In Hybrid,21044,145
Plug-In Hybrid,21045,97
Plug-In Hybrid,21046,37
Plug-In Hybrid,21047,14
Plug-In Hybrid,21048,19
Plug-In Hybrid,21050,21
Plug-In Hybrid,21053,4
Plug-In Hybrid,21054,27
Plug-In Hybrid,21056,1
Plug-In Hybrid,21057,15
Plug-In Hybrid,21060,36
Plug-In Hybrid,21061,37
Plug-In Hybrid,21070,1
Plug-In Hybrid,21074,15
Plug-In Hybrid,21075,60
Plug-In Hybrid,21076,55
Plug-In Hybrid,21078,35
Plug-In Hybrid,21082,5
Plug-In Hybrid,21084,8
Plug-In Hybrid,21085,19
Plug-In Hybrid,21087,10
Plug-In Hybrid,21090,21
Plug-In Hybrid,21093,88
Plug-In Hybrid,21102,11
Plug-In Hybrid,21104,30
Plug-In Hybrid,21108,34
Plug-In Hybrid,21111,11
Plug-In Hybrid,21113,55
Plug-In Hybrid,21114,39
Plug-In Hybrid,21117,96
Plug-In Hybrid,21120,16
Plug-In Hybrid,21122,67
Plug-In Hybrid,21128,30
Plug-In Hybrid,21131,20
Plug-In Hybrid,21132,1
Plug-In Hybrid,21133,29
Plug-In Hybrid,21136,60
Plug-In Hybrid,21140,6
Plug-In Hybrid,21144,62
Plug-In Hybrid,21146,82
Plug-In Hybrid,21152,18
Plug-In Hybrid,21153,7
Plug-In Hybrid,21154,4
Plug-In Hybrid,21155,3
Plug-In Hybrid,21157,38
Plug-In Hybrid,21158,26
Plug-In Hybrid,21160,1
Plug-In Hybrid,21161,7
Plug-In Hybrid,21162,8
Plug-In Hybrid,21163,25
Plug-In Hybrid,21201,22
Plug-In Hybrid,21202,29
Plug-In Hybrid,21203,1
Plug-In Hybrid,21204,58
Plug-In Hybrid,21205,1
Plug-In Hybrid,21206,18
Plug-In Hybrid,21207,30
Plug-In Hybrid,21208,70
Plug-In Hybrid,21209,56
Plug-In Hybrid,21210,45
Plug-In Hybrid,21211,27
Plug-In Hybrid,21212,68
Plug-In Hybrid,21213,7
Plug-In Hybrid,21214,29
Plug-In Hybrid,21215,26
Plug-In Hybrid,21216,10
Plug-In Hybrid,21217,15
Plug-In Hybrid,21218,46
Plug-In Hybrid,21219,16
Plug-In Hybrid,21220,32
Plug-In Hybrid,21221,33
Plug-In Hybrid,21222,31
Plug-In Hybrid,21223,4
Plug-In Hybrid,21224,43
Plug-In Hybrid,21225,4
Plug-In Hybrid,21226,4
Plug-In Hybrid,21227,29
Plug-In Hybrid,21228,84
Plug-In Hybrid,21229,25
Plug-In Hybrid,21230,59
Plug-In Hybrid,21231,28
Plug-In Hybrid,21234,57
Plug-In Hybrid,21236,40
Plug-In Hybrid,21237,21
Plug-In Hybrid,21239,6
Plug-In Hybrid,21244,28
Plug-In Hybrid,21286,51
Plug-In Hybrid,21401,83
Plug-In Hybrid,21403,90
Plug-In Hybrid,21405,3
Plug-In Hybrid,21409,46
Plug-In Hybrid,21502,23
Plug-In Hybrid,21520,1
Plug-In Hybrid,21529,1
Plug-In Hybrid,21532,5
Plug-In Hybrid,21541,2
Plug-In Hybrid,21550,2
Plug-In Hybrid,21561,1
Plug-In Hybrid,21601,49
Plug-In Hybrid,21613,17
Plug-In Hybrid,21617,14
Plug-In Hybrid,21619,11
Plug-In Hybrid,21620,25
Plug-In Hybrid,21622,1
Plug-In Hybrid,21623,3
Plug-In Hybrid,21624,1
Plug-In Hybrid,21625,5
Plug-In Hybrid,21629,5
Plug-In Hybrid,21631,2
Plug-In Hybrid,21632,1
Plug-In Hybrid,21635,3
Plug-In Hybrid,21638,9
Plug-In Hybrid,21643,3
Plug-In Hybrid,21649,2
Plug-In Hybrid,21651,1
Plug-In Hybrid,21652,1
Plug-In Hybrid,21654,5
Plug-In Hybrid,21655,5
Plug-In Hybrid,21657,3
Plug-In Hybrid,21658,6
Plug-In Hybrid,21659,1
Plug-In Hybrid,21660,4
Plug-In Hybrid,21662,2
Plug-In Hybrid,21663,8
Plug-In Hybrid,21664,1
Plug-In Hybrid,21666,18
Plug-In Hybrid,21667,1
Plug-In Hybrid,21668,1
Plug-In Hybrid,21671,1
Plug-In Hybrid,21673,4
Plug-In Hybrid,21676,1
Plug-In Hybrid,21678,1
Plug-In Hybrid,21701,104
Plug-In Hybrid,21702,83
Plug-In Hybrid,21703,57
Plug-In Hybrid,21704,79
Plug-In Hybrid,21710,10
Plug-In Hybrid,21711,2
Plug-In Hybrid,21713,11
Plug-In Hybrid,21714,1
Plug-In Hybrid,21716,16
Plug-In Hybrid,21717,1
Plug-In Hybrid,21719,2
Plug-In Hybrid,21722,6
Plug-In Hybrid,21723,2
Plug-In Hybrid,21727,4
Plug-In Hybrid,21733,1
Plug-In Hybrid,21734,1
Plug-In Hybrid,21737,15
Plug-In Hybrid,21738,12
Plug-In Hybrid,21740,55
Plug-In Hybrid,21742,48
Plug-In Hybrid,21750,2
Plug-In Hybrid,21754,30
Plug-In Hybrid,21755,6
Plug-In Hybrid,21756,6
Plug-In Hybrid,21757,2
Plug-In Hybrid,21758,8
Plug-In Hybrid,21762,2
Plug-In Hybrid,21766,1
Plug-In Hybrid,21769,35
Plug-In Hybrid,21770,19
Plug-In Hybrid,21771,66
Plug-In Hybrid,21773,14
Plug-In Hybrid,21774,52
Plug-In Hybrid,21776,9
Plug-In Hybrid,21777,6
Plug-In Hybrid,21778,2
Plug-In Hybrid,21779,1
Plug-In Hybrid,21780,1
Plug-In Hybrid,21782,4
Plug-In Hybrid,21783,9
Plug-In Hybrid,21784,63
Plug-In Hybrid,21787,6
Plug-In Hybrid,21788,11
Plug-In Hybrid,21790,1
Plug-In Hybrid,21791,10
Plug-In Hybrid,21793,12
Plug-In Hybrid,21794,7
Plug-In Hybrid,21795,6
Plug-In Hybrid,21797,25
Plug-In Hybrid,21798,1
Plug-In Hybrid,21801,31
Plug-In Hybrid,21804,20
Plug-In Hybrid,21811,28
Plug-In Hybrid,21813,6
Plug-In Hybrid,21814,2
Plug-In Hybrid,21817,1
Plug-In Hybrid,21821,1
Plug-In Hybrid,21822,4
Plug-In Hybrid,21826,2
Plug-In Hybrid,21830,4
Plug-In Hybrid,21838,2
Plug-In Hybrid,21842,19
Plug-In Hybrid,21849,1
Plug-In Hybrid,21850,1
Plug-In Hybrid,21851,2
Plug-In Hybrid,21853,1
Plug-In Hybrid,21863,5
Plug-In Hybrid,21865,1
Plug-In Hybrid,21871,2
Plug-In Hybrid,21875,4
Plug-In Hybrid,21901,18
Plug-In Hybrid,21903,1
Plug-In Hybrid,21904,4
Plug-In Hybrid,21911,4
Plug-In Hybrid,21912,1
Plug-In Hybrid,21913,1
Plug-In Hybrid,21914,2
Plug-In Hybrid,21915,5
Plug-In Hybrid,21917,2
Plug-In Hybrid,21918,2
Plug-In Hybrid,21919,4
Plug-In Hybrid,21921,26
